term,plugin_kj_mol,dmff_kj_mol,delta_kj_mol,delta_per_molecule_kj_mol
ADMPPmeForce,1231.160677019332,1228.8450044258243,2.31567259350777,0.023156725935077702
DampedDispersionForce,-4705.87098529138,-3428.5225431591275,-1277.3484421322523,-12.773484421322523
PhyNEOTotalComparable,-135.2343307657461,1129.2430966181541,-1264.4774273839002,-12.644774273839003
QqTtDampingForce,-1.3495708363524064,-1.349574201119461,3.3647670545366992e-06,3.364767054536699e-08
ShortRangeTotal,3339.4759775063017,3328.9206353514573,10.555342154844311,0.1055534215484431
SlaterDampingForce,1282.8505129183143,0.0,1282.8505129183143,12.828505129183142
SlaterDhfForce,-430.04659953211103,-430.04990695472077,0.003307422609736932,3.307422609736932e-05
SlaterExForce,6494.649494748253,6484.104434132916,10.545060615337206,0.10545060615337207
SlaterSrDispForce,-350.78366085364223,-350.78524056167447,0.0015797080322386137,1.5797080322386137e-05
SlaterSrEsForce,-2350.218093903758,-2350.223302287882,0.005208384123761789,5.208384123761789e-05
SlaterSrPolForce,-22.775592116087576,-22.775774776062093,0.00018265997451649696,1.8265997451649697e-06
TotalPotentialEnergy,1147.6161821525684,1129.2430966181541,18.37308553441426,0.18373085534414257
