term,pme_kcal_mol,nocutoff_kcal_mol,delta_kcal_mol,delta_per_molecule_kcal_mol
ADMPPmeForce,168.5318519023818,294.3089892327678,-125.77713733038598,-1.2577713733038598
DampedDispersionForce,-7414.156859802611,-1119.5312121385098,-6294.625647664101,-62.94625647664101
IntraHarmonicAngleForce,92.68278246731782,92.68278246731782,0.0,0.0
IntraHarmonicBondForce,16.62642198270481,16.62642198270481,0.0,0.0
IntraLennardJonesExceptions,0.0,0.0,0.0,0.0
IntraPeriodicTorsionForce,1639.7529002134088,1639.7529002134088,0.0,0.0
QqTtDampingForce,1.7326833481771673,-0.3225550669547248,2.055238415131892,0.020552384151318923
SlaterDampingForce,6433.3658229455,306.6084075241125,6126.757415421388,61.26757415421388
SlaterDhfForce,-182.53601719276043,-102.78354019930876,-79.75247699345167,-0.7975247699345167
SlaterExForce,4049.4654906786764,1552.2548642018005,2497.210626476876,24.972106264768758
SlaterSrDispForce,-145.63279839658975,-83.83905674167367,-61.793741654916076,-0.6179374165491608
SlaterSrEsForce,-837.4195809373383,-561.7146555643975,-275.7049253729408,-2.757049253729408
SlaterSrPolForce,-8.197700813122289,-5.443494691474399,-2.75420612164789,-0.0275420612164789
TotalPotentialEnergy,3814.214996395748,2028.5998512197932,1785.615145175955,17.856151451759548
