molecule	status	num_molecules	atoms	added_bonds	lrc_count	final_density	avg_density	avg_last_half_density	min_density	max_density	final_energy	pdb
DEC	ok	89	1602	0	1	0.9865593881195142	0.9940631349059579	0.9947349258366748	0.9735475277321436	1.022677350361868	-52930.07144952101	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/dec/dec_89mol.pdb
DFE	ok	114	1596	0	1	1.162328672842851	1.1508867838214847	1.1512914905775693	1.131468383912271	1.1918931980180025	738.5399602860045	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/dfe/dfe_114mol.pdb
DMC	ok	133	1596	0	1	1.0310279126029123	1.0206820139203079	1.0225211841978532	0.9908154297348671	1.0401300477807782	-1489.5281382283881	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/dmc/dmc_133mol.pdb
DME	ok	100	1600	0	1	0.7700940083418935	0.7790609286042391	0.7690415209626085	0.7600195713172379	0.8286106954363096	6600.061139568143	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/dme/dme_100mol.pdb
DOL	failed: Particle coordinate is NaN.  For more information, see https://github.com/openmm/openmm/wiki/Frequently-Asked-Questions#nan
EMC	failed after 10 ps: CUDA_ERROR_ILLEGAL_ADDRESS (700)
EPA	ok	94	1598	0	1	0.866210405467459	0.8657516615810396	0.8689788377101962	0.8434043801720696	0.8856477282870353	-15303.029176174654	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/epa/epa_94mol.pdb
FEC	ok	160	1600	0	1	1.455843517987097	1.456816592084213	1.45711331982329	1.436672545960038	1.477909214121576	-21527.268161510725	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/fec/fec_160mol.pdb
FEM	ok	107	1605	0	1	1.2992824489375012	1.2963742847146662	1.3065335127664546	1.2532362105564026	1.3224993688572872	8873.532947272019	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/fem/fem_107mol.pdb
GBL	ok	133	1596	0	1	1.1614465490998118	1.16387695052063	1.163081673737389	1.1392844146932968	1.1809889758804657	-10234.95125340335	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/gbl/gbl_133mol.pdb
PCA	ok	123	1599	0	1	1.2361566628301368	1.238601661699972	1.2348726157827765	1.2091273449808773	1.2592243572092496	-21402.772811299976	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/pca/pca_123mol.pdb
PPA	ok	50	1000	0	1	0.870057234783759	0.8821875958805814	0.8752433007207632	0.8636446529391612	0.9027716126454159	-1926.4846075473013	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/ppa/ppa_50mol.pdb
PSA	ok	123	1599	0	1	1.3133337513725538	1.3234271557835358	1.3295031787862892	1.2907690947907249	1.363235966446486	-22969.47638646622	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md/psa/psa_123mol.pdb
SLA	failed after 30 ps: CUDA_ERROR_ILLEGAL_ADDRESS (700)
