molecule	status	num_molecules	atoms	added_bonds	lrc_count	final_density	avg_density	avg_last_half_density	min_density	max_density	final_energy	pdb
DEC	ok	89	1602	0	1	0.9856041177759354	0.9757382093736231	0.9685935763586343	0.9309399535302555	0.9975684775341462	-52698.867353197595	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/dec/dec_89mol.pdb
DFE	ok	114	1596	0	1	1.1259759383010286	1.1359909638758308	1.137585047981883	1.085712622650011	1.161166376269103	993.9731364269792	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/dfe/dfe_114mol.pdb
DMC	ok	133	1596	0	1	1.020303591004634	1.0041080149059913	1.0030077047215515	0.9807796735891052	1.023128175676528	-1152.563329626487	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/dmc/dmc_133mol.pdb
DME	ok	100	1600	0	1	0.7596483048638146	0.7492025573277774	0.7554770422327254	0.7269321002456177	0.7787684503963787	6564.893696415416	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/dme/dme_100mol.pdb
EPA	ok	94	1598	0	1	0.8465919922198876	0.8476584647850312	0.8475947181979407	0.8201427892904058	0.8616781057774416	-15481.652229385101	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/epa/epa_94mol.pdb
FEC	ok	160	1600	0	1	1.4513396369853782	1.4461867008167932	1.456917812376221	1.4188310173496617	1.4620386833714254	-21612.560897236795	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/fec/fec_160mol.pdb
FEM	ok	107	1605	0	1	1.2675485657231023	1.2645019285045525	1.2724523279899522	1.2370529264528678	1.2924431802590155	9255.4298729317	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/fem/fem_107mol.pdb
GBL	ok	133	1596	0	1	1.1371175085146945	1.143997245549628	1.1442909034387883	1.1310687669711579	1.1656465725306446	-9869.184598979073	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/gbl/gbl_133mol.pdb
PCA	ok	123	1599	0	1	1.210547638307552	1.1964954440108804	1.1959103096487012	1.1759541018786193	1.2233789781531783	-21101.476118063307	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/pca/pca_123mol.pdb
PSA	ok	123	1599	0	1	1.3099737726541696	1.3022061304694927	1.3094731073371417	1.2748327699690107	1.3258438695542307	-23008.988160395453	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/psa/psa_123mol.pdb
PPA	ok	50	1000	0	1	0.8691662849565426	0.8506324896753247	0.8534744370046928	0.8162545489676933	0.8773404355802348	-1809.6623224832153	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/ppa/ppa_50mol.pdb
SLA	ok	107	1605	0	1	1.2628764321255814	1.264106752473094	1.273425317828929	1.2457794133219662	1.2845144048779482	-35251.90516273931	/home/am3-peichenzhong-group/Documents/project/test_MPID_DMFF/init_mpid_plugin/OpenMMPhyNEOPlugin/examples/ec_bulk/neutral_md_dmff_hc_direct_100ps/sla/sla_107mol.pdb
